,p80,cs1011_pr,cs1012_pr,cs1013_pr,cs1014_pr,cs1011_so,cs1012_so,cs1013_so,cs1014_so,su1021_np,su1021_ps,sag1011_po,sag1011_tr
357,237.99468495677,9.424828039219092,10.0373396395073,10.49431754588604,9.461219865484416,69.01049206149224,73.62725743296,71.94556127274126,68.85130164071053,88.59733180726192,88.50488843321922,21227.977163463693,4956.006782196419
358,238.3605473750219,9.51012859738923,10.02160976912579,9.708533022600557,9.603152949541425,69.96799530589486,74.21477101252594,72.23918924888999,68.33155066832583,70.1713845519572,70.14503071194343,20405.845828865153,4956.906766292721
359,238.4435285582449,9.57675855568538,11.69839595732956,9.574938853327975,9.581413149580802,71.17444532704222,74.87687626067215,71.37094706699976,69.0962637775685,64.77282965662228,64.64792957425894,19938.8717819355,4614.905762285566
360,237.6792330597355,10.2749007355152,11.16620998742822,10.255876236275,10.58269959346368,68.16929263990704,72.79885565627862,71.13340605557703,68.59605632818447,65.45292825261335,65.49340006793007,20561.635203790207,5032.113725568552
361,237.243327322899,9.764944646310616,11.2138997258835,9.844959776428553,3.463590649723364,72.59799475442362,73.73271153806586,71.74899434255758,37.0333458819349,70.30991626841968,70.44117680671344,18608.724722038616,4257.064939546301
362,238.9271823417177,9.611657554903871,0.0,0.1626887314474766,10.22845945638566,26.16859397743668,0.05294853733840565,6.087399961665889,29.11684804434236,72.56412784509847,72.46335471613214,275.5658418818971,0.1175404094779924
363,253.0572025052193,9.593896401504603,9.603528769577062,8.98999703438982,9.588443241375058,72.61292071581767,72.42758346574014,70.82100055472014,68.95771449569001,69.90552614259455,69.89224531069128,17604.850489374436,5200.802233199932
364,248.3268150665826,9.785766836734126,2.841585517485355e-39,9.797679771088683,9.511651253027429,74.5122798482549,0.005656922578024623,70.85581426911543,67.1070412087054,70.01057602355965,70.042256500166,19423.231145047794,3980.452519714738
365,243.0019656156303,9.500259720246731,9.110874247609972,9.599966007656606,9.497078246988403,69.70039008809434,74.78359638962175,72.13748026009783,68.73305349137333,74.95121814790652,75.0010879180299,19802.57159079485,4482.038823475194
366,244.1354262814901,9.480390918358463,9.490746410877039,9.506239472865714,9.480434084938436,70.01663307682762,74.63759580741035,72.36603993666803,69.31199779477606,75.39914957315851,75.74234945029903,18421.55620305958,4768.418871238801
